ISBN,书名,状态,购入价格,售出价格,历史最高价,2026-05-25,2026-05-26,2026-05-27
9787115545374,认知觉醒（百万册精装纪念版）,持有,8,,31.00,31.00,31.00,31.00
9787115657510,变态心理学(第11版),已移除,,,58.80,58.80,56.80,
9787101175950,真事隐：康熙废储与正史虚构,持有,12,,28.40,28.40,28.40,28.40
9787530221280,流俗地,持有,13,,16.70,16.70,16.70,16.70
9787553824291,逐鹿,持有,22,,23.10,23.10,21.10,23.10
9787101170702,西游记（修订本）,持有,27,,20.90,20.90,17.90,16.90
9787551831383,道德经,持有,27,,34.40,34.40,33.40,33.40
9787208176065,鲍德里亚访谈录:1968-2008,持有,,,14.60,8.70,14.60,12.60
9787532194810,韦伯与社会学的视野,持有,20.5,,23.20,21.20,19.20,23.20
9787208197480,社会如何记忆(修订译本),持有,,,17.10,17.10,17.10,17.10
9787108078605,生灵与超越,持有,,,22.90,22.90,22.90,22.90
9787559828910,从废园到燕园,持有,,,2.30,2.30,2.30,2.30
9787513355872,起初·鱼甜,持有,0,,4.90,4.90,0.00,4.90
9787020186082,去有风的旷野,持有,0,,9.20,9.20,9.20,9.10
9787532767427,论自由,持有,,,9.90,9.90,9.90,9.90
9787550268388,灯塔,持有,22.3,,11.80,11.70,11.80,11.80
9787549555116,政治秩序的起源,持有,,,18.70,18.70,15.70,15.70
9787532789900,不朽,持有,,,23.80,23.80,23.80,23.80
9787020150502,水浒传,持有,,,27.40,27.40,26.40,26.40
9787221184733,倾听疯狂的声音:被误解的精神分裂症,持有,,,5.90,5.90,5.90,5.80
9787020195268,酒吧长谈(刷边纪念版),持有,32,,43.70,3.00,3.00,3.00
9787020150427,三国演义,持有,11,,16.50,16.50,15.50,14.70
9787203116592,隳三都,持有,16,,20.40,18.40,20.40,20.40
9787220118043,苏东坡新传,持有,24,,38.10,38.10,37.10,36.10
9787559884831,人性初探（全四册）,持有,,,53.70,52.70,53.70,53.70
9787559496645,安娜·卡列尼娜（插图珍藏版）,持有,31,,46.80,4.70,46.80,37.80
9787559831941,沙漠与沙,持有,,,4.10,4.10,4.00,1.90
9787559826473,鳄鱼街,持有,,,3.50,3.10,3.50,3.40
9787559823861,陀思妥耶夫斯基的世界观,持有,20,,21.60,21.60,21.60,20.60
9787020135578,哈利·波特与阿兹卡班囚徒,持有,,,8.70,8.20,0.00,0.0
9787020135554,哈利·波特与密室,持有,,,5.70,4.90,5.30,5.70
9787020112463,哈利·波特与魔法石（全彩绘本）,持有,,,22.30,19.30,18.30,22.30
9787100087667,乡土中国 生育制度 乡土重建,持有,21.8,,23.70,23.70,22.70,23.70
9787521720372,香帅金融学讲义,持有,,,7.50,7.50,7.50,7.40
9787508649719,从0到1,持有,,,3.60,3.40,3.40,3.00
9787542678584,白先勇典藏集,持有,,,111.00,111.00,111.00,111.00
9787108042996,邓小平时代,持有,,,34.30,34.30,34.30,34.30
