记录ID,ISBN,书名,状态,购入价格,售出价格,售出时间,历史最高价,处理标签,备注,2026-07-18,2026-07-19,2026-07-20,2026-07-21,2026-07-22,2026-07-23,2026-07-24
ad12a04bc8ff4837be2a66cb2c1f9d2d,'9787115545374,认知觉醒（百万册精装纪念版）（开启自我改变的原动力）,持有,8,,,32.00,,,23.00,23.00,23.00,23.00,23.00,23.00,23.00
e1d3bff7e69a471cafa65433bdc3c259,'9787101175950,真事隐：康熙废储与正史虚构,持有,10,,,29.40,待售,,22.70,22.70,21.70,21.70,23.70,23.70,23.70
e3b8c063dbe64608a2a87c2dfdcef09a,'9787530221280,流俗地,持有,13,,,16.70,,,16.70,16.70,16.70,16.70,15.70,15.70,15.70
ac59e5a5869041cbb51a87e0fc799254,'9787553824291,逐鹿,已售,22,23.6,2026-07-24,25.10,已售,,,,,,,,
659fd760d6f24a79b4e93f1d4c8b1123,'9787101170702,西游记（修订本）,持有,27,,,28.90,,,27.90,27.90,27.90,28.90,27.90,28.90,28.90
8199516309e641c29b51adba06574852,'9787551831383,道德经（帛书版·全注全译全解）,持有,27,,,35.40,,,27.40,29.40,30.40,30.40,32.40,33.40,33.40
4b45054fb9f74aba8a3228a4eb2eb6c6,'9787208176065,鲍德里亚访谈录:1968-2008,持有,34,,,20.60,,,14.60,17.60,19.60,19.60,20.60,18.60,18.60
e0a19468f34f4fa588b1454f8fda845c,'9787532194810,韦伯与社会学的视野,持有,20.5,,,24.20,,,24.20,24.20,24.20,24.20,21.20,23.20,23.20
b11077ab08804f0997da5139240f32c8,'9787208197480,社会如何记忆(修订译本),持有,42,,,21.10,,,19.10,19.10,19.10,19.10,18.10,18.10,18.10
2394801370ec4c8fbb5a5d14e17c3397,'9787108078605,生灵与超越（祭祀的人类学释义）,持有,39,,,22.90,,,3.00,19.90,19.90,19.90,18.90,18.90,18.90
aaa1d0cda27b43bea78a6c8225df5c9a,'9787559828910,从废园到燕园,持有,12,,,5.00,,,2.80,2.80,2.80,2.80,2.80,2.80,2.80
3a05146559914cbaa8ad6bd4a6636f8f,'9787513355872,起初·鱼甜,持有,0,,,7.20,,,0.00,0.00,0.00,0.00,0.00,0.00,0.0
b1955955da1c4ec1b2438e1a345eec43,'9787020186082,去有风的旷野,已售,0,15.8,2026-07-24,16.40,已售,,,,,,,,
c1ce6a689adb4d09948c67fec697be26,'9787532767427,论自由,持有,39,,,10.50,,,10.50,10.50,10.50,10.50,10.20,9.10,9.10
b9f24bda202641e7b316c70c54dc282f,'9787550268388,灯塔,已售,22.3,21.8,2026-07-24,23.30,已售,,,,,,,,
06a2e9a596e6444eb34c3cd821e9f83e,'9787549555116,政治秩序的起源（从前人类时代到法国大革命）,持有,20,,,20.70,,,10.50,10.70,12.90,12.80,13.70,12.80,12.80
6c23cc7861b74adf99086b2c1e74753b,'9787532789900,不朽,持有,19,,,24.80,,,24.80,24.80,24.80,24.80,24.80,24.80,24.80
f38336ff7deb4410aa5a842cbcd09339,'9787020150502,水浒传,持有,29.5,,,31.40,,,22.40,24.40,24.40,22.40,24.40,22.40,23.40
a23f1e23a95540d09451413305a5b0ed,'9787221184733,倾听疯狂的声音:被误解的精神分裂症,已售,25,12.8,2026-07-24,12.40,已售,,,,,,,,
889d7b88d13042bf98cc631905982c2b,'9787020195268,酒吧长谈(刷边纪念版),持有,32,,,46.70,,,36.70,36.70,36.70,36.70,36.70,37.70,37.70
e80125bd3f174be88bb5e4ae64a259e7,'9787020169979,三国演义（精装插图本）,已售,60,78,2026-07-24,33.10,已售,,,,,,,,
65ca573b1d83409c9999d5f9b7d45e1d,'9787020150427,三国演义（大字本）,持有,11,,,30.10,,,13.90,13.60,14.70,16.50,17.50,18.50,18.50
cd2fd4de366448a489010a1a80f3ae8d,'9787203116592,隳三都（蒙古灭金围城史）,已售,16,20.8,2026-07-24,21.40,已售,,,,,,,,
935e8a11591f4251ba1e407f4288a2cf,'9787220118043,苏东坡新传,持有,24,,,43.10,,,43.10,43.10,43.10,43.10,42.10,41.10,40.10
1c15ec725d9a4061a5002d32ee3291d0,'9787559884831,人性初探（全四册）,未持有,,,,53.70,,,18.70,18.70,18.70,41.70,43.70,43.70,41.70
