ISBN,书名,购入价格,售出价格,备注
'9787115545374,认知觉醒（百万册精装纪念版）（开启自我改变的原动力）,8,,
'9787101175950,真事隐：康熙废储与正史虚构,10,,待售
'9787530221280,流俗地,13,,
'9787553824291,逐鹿,22,23.6,已售
'9787101170702,西游记（修订本）,27,,
'9787551831383,道德经（帛书版·全注全译全解）,27,,
'9787208176065,鲍德里亚访谈录:1968-2008,34,,
'9787532194810,韦伯与社会学的视野,20.5,,
'9787208197480,社会如何记忆(修订译本),42,,
'9787108078605,生灵与超越（祭祀的人类学释义）,39,,
'9787559828910,从废园到燕园,12,,
'9787513355872,起初·鱼甜,0,,
'9787020186082,去有风的旷野,0,,
'9787532767427,论自由,39,,
'9787550268388,灯塔,22.3,21.8,已售
'9787549555116,政治秩序的起源（从前人类时代到法国大革命）,20,,
'9787532789900,不朽,19,,
'9787020150502,水浒传,29.5,,
'9787221184733,倾听疯狂的声音:被误解的精神分裂症,25,12.8,已售
'9787020195268,酒吧长谈(刷边纪念版),32,,
'9787020169979,三国演义（精装插图本）,60,78,
'9787020150427,三国演义（大字本）,11,,
'9787203116592,隳三都（蒙古灭金围城史）,16,,待售
'9787220118043,苏东坡新传,24,,
'9787559884831,人性初探（全四册）,,,
'9787559496645,安娜·卡列尼娜（插图珍藏版）,31,,
'9787559831941,沙漠与沙,12,,
'9787559826473,鳄鱼街,12,,
'9787559823861,陀思妥耶夫斯基的世界观,20,,
'9787020135578,哈利·波特与阿兹卡班囚徒,0,,已看
'9787020135554,哈利·波特与密室,0,,已看
'9787020112463,哈利·波特与魔法石（全彩绘本）,0,,已看
'9787100087667,乡土中国 生育制度 乡土重建,21.8,,
'9787521720372,香帅金融学讲义,40,,
'9787508649719,从0到1（开启商业与未来的秘密）,0,,
'9787542678584,白先勇典藏集,,,
'9787108042996,邓小平时代,0,,
'9787214205353,土地改革与华北乡村权力变迁:一项政治史的考察,56,,
'9787547258415,墨菲定律,0,,
'9787559653192,成事(2021)（冯唐品读曾国藩嘉言钞）,16,,待售
'9787513330756,反智时代（谎言中的美国文化）,42,,
'9787538771152,"别哭,诺冰娜",0,1.2,已售
'9787533971793,亲历中国考古,138,,
'9787533973469,幸福力,0,,
'9787544779548,我心归处是敦煌（樊锦诗自述）,18,,待售
'9787020138661,儒林外史,11.5,,
'9787540476410,有琴一张(全新修订版),25,,
'9787522515960,我们去向何方,16,,
'9787302656142,红楼梦脂评汇校本,29,,
'9787520704649,找寻真实的蒋介石（蒋介石在台湾）,31.56,,
'9787559815545,复仇女神号（第一艘铁壳战舰的传奇）,12,,
'9787020188468,白痴,25,,
'9787020174720,哈利·波特与凤凰社(全彩绘本),0,,已看
'9787020160754,哈利·波特与火焰杯(全彩绘本),0,,已看
'9789620765841,通向奴役之路,0,,
'9787220106699,娜塔莎之舞（俄罗斯文化史）,39,,
'9787544285025,金色梦乡,20,,
'9787020162093,一千零一夜,19.5,,
'9787507543759,佛教世界观,22,,
'9787510838798,滇缅公路（二战“中缅印”战场的壮丽史诗）,12.5,,
'9787559828989,古罗马的笑:演说家、弄臣和猴子,12,,
'9787520720106,轴心文明与现代社会（探索大历史的结构）,74,,
'9787509013434,王赓武谈世界史：欧亚大陆与三大文明,28,,
