日期,记录ID,ISBN,书名,价格,历史最高价,最高价日期
2026-09-02,0165102571f94894a22f685f25dd7acd,'9787221175540,魏文帝集全译(上下),28.30,,
2026-09-02,0205eb3220104e58ae313dd76488459e,'9787572627309,河山,22.50,,
2026-09-02,0208281affbe4319b7aaac6cdb3e430d,'9787020135578,哈利·波特与阿兹卡班囚徒,8.90,,
2026-09-02,063290604de54460ad92b3bc94870852,'9787100252140,古诗文常用名句辞典,18.80,,
2026-09-02,069ccceca40d45829eb98c3e936474d7,'9787520704649,找寻真实的蒋介石（蒋介石在台湾）,19.50,,
2026-09-02,0e468f1698b44f98a44e2e5a2aa99521,'9787020193875,宋词三百首,,,
2026-09-02,111a885b124949e9a9b37d3f4d50db3a,'9787510838798,滇缅公路（二战“中缅印”战场的壮丽史诗）,2.40,,
2026-09-02,153a77eac7554aa59cb55c62fd23a970,'9787020189274,浮生六记(彩绘本),10.40,,
2026-09-02,17cc3cbf5ebc434093ce09216114a468,'9787115630216,亲密关系(第8版),40.10,,
2026-09-02,1868a7205cd7480c9c3135ef17f9e248,'9787521603774,圆圈正义,3.30,,
2026-09-02,1c15ec725d9a4061a5002d32ee3291d0,'9787559884831,人性初探（全四册）,53.70,,
2026-09-02,1c1ef954f2034f5d98b5888820473125,'9787020191598,卡拉马佐夫兄弟(上下),33.80,,
2026-09-02,1fa1fc5c84a44c94aecb4896d8b9fed7,'9787549566426,大断裂（人类本性与社会秩序的重建）,6.90,,
2026-09-02,2191739774fa42c1a92ab158c6149dfe,'9787500166863,身份政治：对尊严与认同的渴求,12.80,,
2026-09-02,21ae5286dd7d48e79b18a5a7d12b7d26,'9787559465979,老人与海(插图珍藏版),10.90,,
2026-09-02,21bc15c3e32146a78dac7030a3c6806c,'9787020162093,一千零一夜,15.20,,
2026-09-02,2394801370ec4c8fbb5a5d14e17c3397,'9787108078605,生灵与超越（祭祀的人类学释义）,14.90,,
2026-09-02,23b7ebe0f9af435a9886f5d37eae9a0c,'9787549578535,信任（社会美德与创造经济繁荣）,17.90,,
2026-09-02,24fbe44c016541d38e4e9d0544e63c07,'9787522542829,史记的读法:司马迁的历史世界,23.00,,
2026-09-02,26664e0cbf544c3d91c7262ee9df96c2,'9787020188468,白痴,31.30,,
2026-09-02,28b8c64e6b8f498891b5def125f23816,'9787203128830,暮日耀光（张居正与明代中后期政局（精装珍藏版））,31.30,,
2026-09-02,2906735a669041dd8de689163805349b,'9787510892233,战时的第三帝国,32.60,,
2026-09-02,2a748c8043c541e28d36c0d3926d4054,'9787508672960,小岛经济学（鱼、美元和经济的故事）,14.60,,
2026-09-02,2aa5cdc6118d4512826df73d37f96d3a,'9787513945721,阿提拉、成吉思汗与帖木儿（草原帝国）,21.30,,
2026-09-02,2ba6edf6f3ec49fc9d07fa9f7e4cd75d,'9787522543949,源氏物语：插图袖珍本（全两册）,53.90,,
2026-09-02,2bb14cba30ea474caa6588dcc1592a2e,'9787547329207,满者伯夷（印度尼西亚最伟大帝国的阴谋、背叛与战争）,14.90,,
2026-09-02,2ca2b666d5a242d5bd6b9a26dd0e430f,'9787544779548,我心归处是敦煌（樊锦诗自述）,3.10,,
2026-09-02,2dfea5fb89884b42927c3383ddfa0c9e,'9787519468088,历史的逻辑,31.80,,
2026-09-02,2e07ed25692f4e57af912f38e3702c40,'9787515373850,红岩,12.10,,
2026-09-02,2e7abe7b72624693ae257847b0d48bb3,'9789620765841,通向奴役之路,73.60,,
2026-09-02,2eb4f0b425d74a31be65915a1c0fe73c,'9787549570942,政治秩序与政治衰败（从工业革命到民主全球化）,18.10,,
2026-09-02,2f0fb930a7d24e6187dc391d04b3f051,'9787573624550,重校《八家评批红楼梦》,249.20,,
2026-09-02,2fc86f9fd17c4116980bf0ad59013d4e,'9787559832009,无名的裘德,21.90,,
2026-09-02,303945d813da4ac8aa0809abefdfea63,'9787568910569,导读维特根斯坦《逻辑哲学论》,8.50,,
